processed_comment,class
dép ngoài xinh lắm giao hàng nhanh_chóng dễ_thương,1
shop làm_việc quá tệ hàng nên gói đại_giao khách,0
giao hàng quá lâu dự_kiến không nhiệt_tình lắm,0
áo size l bé tương_đương size m_dáng nên càng ngắn chất vải nóng bí_ship nhanh kéo,0
quần tạm màu hình ngoài đậm màu hơn,0
màu trắng vải sản_phẩm đẹp giá tiền hợp_lý,1
ok túi xinh_cực gần xách rất tiện_túi chắc_chắn đáng mua,1
ok xanh áo đẹp mặc thoải_mái đóng_gói cẩn_thận đẹp nên mua,1
giao hàng nhanh_shop phục_vụ rất tốt quay,1
giày giao bẩn cứng đau chân,0
ví xinh lắm á nên mua ủng_hộ shop yip không hề,0
sản_phẩm tuyệt hơn cả mong_đợi shop hỗ_trợ rất nhiệt_tình,1
tệ hư nút chỉnh giờ,0
đơn đặt tháng cuối tháng mới nhận vấn_đề shop không hàng_không báo khách đơn tách đơn_đơn giao_đơn không hỏi khách chủ_yếu muốn mua áo váy linh_tinh kia mua kèm do sale mua đơn_mắc hơn hiểu bực_nhận hàng bực_hàng dởm,0
giao ẩu méo thành vết hết làm duỗi thành túi đẹp,0
tậu ẻm kệ cành nói cành tin quá xuất_sắc chắc_chắn dễ lắp đựng rất nhiều đồ_mí pà nắp đậy sợ bụi côn_trùng,1
nhận hàng thất_vọng ghê chất_lượng giống bài shop đăng nên cân_nhắc mua,0
hàng đẹp y_hình đầu thấy cọc tính ship éo_tâm giao hàng tận nơi thời_gian giao quá lâu,0
ổn chuyện đặt_lộn size nhỏ chân inbox shop đổi giày shop đồng gần tháng chưa thấy động_thái đổi trả hàng inbox trả_lời mệt,0
đồng_hồ mua không cài_đặt ngày_giờ liên_hệ shop không bốc_máy hướng_dẫn gắn sim g không gọi gắn sim nghe gọi ngày_giờ sai chán quá tệ đừng mua,0
ok_dung ok chuẩn giao hàng nhanh giày phù_hợp giá tiền mua chạy thể_dục khá ok giá rẻ nên tham_khảo,1
gì hồng_xanh ngoài đời hơn khác dép trái không sốp giao chân tri_kỉ,0
den đế xốp không cao_su giá đòi_hỏi,0
xám dép đau chân thề mua tiếng bỏ,0
vòng_tay bé không to_hình,0
đen quá mỏng tiền lấy nên mỏng dùng tạm ship nhanh,0
trắng da_săn sale cả ship thấy rất vừa túi_tiền học_sinh rẻ rất chất_lượng túi khá đứng from m n nên mua_phối đồ xinh_nhá,1
ok ok ok ốp xinh_ok đẹp giống mẫu ảnh ảnh video mang tính_chất mong thông_cảm,1
trắng đúng hàng tốt giá rẻ_viên đá không trắng vàng_vàng,1
đặt màu hồng_shop giao vàng nhựa dễ gãy không,0
tay_áo quá dài áo chật,0
quấn ok đẹp tốt vừa vặn_phối đổ ok shop giao hàng nhanh_gói kĩ_ok,1
sản_phẩm đúng mô_tả vải chun màu trắng hồng_tất khá dày_dặn màu xinh_giá rẻ,1
xanh da da tốt_hơi thất_vọng gấp góc trông hơi khó nhìn da kiểu bẩn bẩn,0
đen vải dày đúng mẫu mặc giao hàng nhanh đóng_gói hàng kĩ_mặc lên form xinh,1
màu đen xám lấy màu xám nhạt giao báo khách nhà biết nên kiểm_size nhận đổi trả hàng phiền_phức nên đăng bài cam_kết giống hình đặt màu giao màu khác đổi trả mất ngàn vải quần đổ lông_thừa nhiều,0
trắng lụa giày chuẩn_size lắm hông biết do vận_chuyển đóng_gói giày gãy hết from_hơi thất_vọng,0
đặt màu giao màu kia bó_tay,0
hàng bình_thường rộng quá trời size_trừ size mua chán,0
giao hàng nhanh_đô đẹp_tội vài chỗ hơi bẩn áo_hình mang tinh_chát nhan_xu,1
đúng đúng sai đặt màu nâu đậm giao màu nâu_nhạt nhìn màu chán buồn nói,0
đẹp nhen thấy cưng lắm mua mua hông mua biết,1
quần đẹp mẫu ủng_hộ shop,1
áo polo nam_độ co_giãn tốt giá_cả hợp_lý mua do không biết mò không_thể nói_thể dùng làm_việc,1
hình_ảnh mang tính_chất giày đẹp đóng_gói vội nên hộp móp,1
giao hàng nhanh đúng sản_phẩm đặt đóng_gói cẩn_thận kĩ càng,1
chất giầy cứng_chân nói_chung tiền đấy,0
edge,0
sản_phẩm đẹp chất_lượng tốt phù_hợp giá tiền ủng_hộ ok bye bye bye,1
bùi_ok ok vận_chuyển hàng chuyển nhà dọn trọ văn_phòng dọn đồ thanh_lý nhận tháo_dỡ sửa_chữa cải_tạo mặt liên_hệ phát hỗ_trợ tốt nhất,0
ok mềm xinh_xắn túi y_hình đẹp_bền vài ngày đứt mất tiêu,0
quần_nỉ mỏng ổn tầm giá giao sai màu không cẩn_thận đặt đen nhận xanh,0
chữ quá bé,0
xám vải mỏng_chất khá nóng_ok co_dãn tốt_độ dài khá ok đúng mô_tả giá hợp_lý ban_đầu tưởng nên đặt ngờ đấy giá đôi giờ thành mua đôi dùng hết hic,0
mỏng lớp xanh trắng đúng ảnh áo may_ảo lém size ảo nhỏ muốn mặc thoải_mái nên lấy size l size hơi_kích,0
đen dép quá đẹp,1
trắng đúng da giả_thích lắm túi cúng nên bỏ thứ cộm xiên túi í đeo lên trông đẹp giá rẻ chịu,0
shop giao hàng hãng vận_chuyển cực_kì chậm m mua đặt mua ngày nhận chậm hơn cả shop ngoài,0
cặp xinh_dã_man vải cặp đẹp ít thấm nước tặng kèm sticker huy_hiệu shop_shop dễ_thương giao hơi lâu không đẹp shop,1
nâu thô_kaki giao hàng nhanh chất_lượng đôi giá tiền quần lên form đứng màu đẹp,0
sắt đen đúng đóng_gói cẩn_thận chất_lượng sản_phẩm đẹp rất đáng mua,1
xau màu hề giống_hình xấu cực_lì hề giống tí xấu,0
dép đẹp hơi ten h chắc_chắn,1
vải trơn vải trơn vuốt lên rích_rích đen không hài_lòng sản_phẩm khuy_cài rất lỏng_lẻo,0
đóng_gói hàng sơ_sài bi_bong tróc sơn nhìn xấu hết cả dôi hàng biết bền_nưa,0
trắng không hàng đặt do ân_tượng phẩn vải nhận hàng_không,0
giầy chắc hư quá trải_nghiệm vu hi,0
be xốp vải ren đúng nhìn_nhận hàng tạm đeo lên thoi dịu xinh_voãi á nên mua rẻ,1
giao nhanh giá ủng_hộ cảm_ơn shop,1
màu đẹp chất mate nhìn sang xịn trưởng_thành đẹp,1
đúng miêu_tả vai nâu nhận chưa mặc thử nên chưa biết ủng_hộ hy_vọng mua hình_ảnh mang tính_chất họa,1
hơi thất_vọng màu quần ngoài nhìn ảo lắm chán,0
m chuẩn đét shop báo tăng size m chật,0
đẹp rộng xanh,0
dép êm_shop giao đúng mẫu đúng màu,1
hoa gãy mềm_trương_thể thé_nãy chửi_sở vật_chất trai nót_lông thành_công xin chữ,0
rẻ thấy phí tiền chất dở lắm,0
jean đặt size s gửi size l nhắn_tin thấy reply thất_vọng shop hơi nhiều,0
mua sale nên ổn chất vải mịn mát bạn nữ mua ưng tiếc_khum mua any ủng_hộ shop yêu,1
đen đúng đẹp rất đẹp nên mua ủng_hộ shop tiếp,1
ok học kiện một đàn quyền yêu đấy chưa đủ l quá,1
màu be hong mới mở hàng hơi nặng mùi mang vô_chất nhựa nhựa,1
đơn hàng giao_hơi lâu đẹp_dáng đúng ảnh shop,1
hình_ảnh mang tính_chất_minh họa săn sale giá tốt giao hàng nhanh,1
rất nhiều thừa,0
san pham rat_te mua ve that_vong co_lam,0
ổn cos m size m rat dài,0
quá chán mong_đợi đặt size l mad_tưởng khổng_lồ mặc,0
đẹp giống ảnh,1
đen đúng biết giao hàng lâu_túi nhìn vô_tri nhỏ_nhỏ mua đựng đồ linh_tinh_ok,1
kem giày khá đẹp_lỡ mua to nên mang đẹp lắm ok nên mua,1
đen áo đẹp hông biết áo đẹp chất dày dặn tèn ten,1
đúng đen hình_ảnh mang tính_chất giá giày keo dán bền lắm dễ bông_chóc cân_nhắc giá mua,0
vải kém khô cứng mua ngoài chợ chắc nghìn,0
rẻ ngon nhá,1
không xuất_sắc lắm giá rẻ nên mong_đợi nhiều gãy mất khuyên_lười trả hàng,0
đen nhám nhựa màu đều vừa cặp tóc không rơi chất_lượng ổn,1
nơ lệch mỏng_đế chiếc dép mũi cong nhăn,0
khong mau shop giao không đúng kích_cỡ đặt_hàng hàng phù_hợp giá tiền giao hàng hơi chậm,1
giày nhăn mũi không sản_phẩm không hình,0
gửi đồ size m áo_nít mặc vừa,0
chất vải dày dặn áo đúng hình_ảnh quảng_cáo nên đặt shop uy_tín,1
vải thô_rách chỗ mắt túi_đính mắt lỏng_lẻo dính keo_thừa nhiều chắc mua hàng quốc_tế fail nhất,0
sản_phẩm miêu_tả cần time test s,1
màu hồng xấu quá trời hồng_cánh sen nhạt trời,0
rất đẹp xịn xò thích lắm giá ok shop giao lỗi hàng đóng_gói sản_phẩm chắc_chắn lắm giao nhanh siêu nhanh nên mua ủng_hộ shop dài dài,1
da trắng đẹp hơn ảnh,1
den hong cứng mang chinh lắm nên mua phí tiền,1
trắng da_túi đẹp đóng_gói ổn_định giao hàng nhanh ok,1
trắng da mẫu_dáng ok nhỏ đựng vừa from hơi họp hẹp_gói hàng sơ_sài,0
nhìn sơ_qua thấy đẹp đấy nhìn kĩ_hàng lỗi quý,0
đúng chưa biết thiếu chữ logo mặt,0
giao sai sản_phẩm sản_phẩm nhận không hề giống hình_ảnh ví mỏng dính đường may_đứt nói_chung rất xấu thất_vọng chất_lượng sản_phẩm,0
vừa nhận hàng shop sản_phẩm y_hình quảng_cáo_nhiên ảnh siêu nhỏ,0
tốt đen quần đẹp phai màu nhìn sợ đổ cả lọ_mực giặt hết phai,0
quần khá mỏng mặc mùa thu mát mát tiền,0
đỉnh chóp giày chất_lượng nên mua mùi thơm lắm lùi size chuẩn bài,1
sản_phẩm ổn phù_hợp giá tiền,1
vải ok nâu săn giá rẻ quá đỉnh đẹp nhức nách,1
shop ship siêu nhanh chất vải không nỉ bông khá dày_ấm shop tặng kèm bút_bi dễ thương_nhiên một điểm trừ đọc phần ghi thấy shop ghi quần size m ống rộng chiều dài quần_mặc đúng chính_xác size m dài ống rộng lệch cm cả một vấn_đề nên mong shop thông_số hơn may đặt size m nên mặc đặt size s chắc không vừa,1
túi_xách đẹp mua bé nên dây hơi dài buộc ngắn dây bé đeo rata đáng yêu,1
da trắng hồng đúng form đẹp hơi cứng,0
quần trắng đẹp chất_lượng quần_đen cắt khui nói_chung sịt,0
chưa đúng miêu_tả màu ghi vải thô form hơi bể mẫu chất_lượng vải ok lắm giá đòi_hỏi hơn mua thử khả_năng pas,0
chất_lượng sản_phẩm đúng giờ tính_năng nổi_bật dổm xấu,0
xem nhiều review quá nên order thử bộ mặc polo chất vải mát_mặc rất thoải_mái tội đợt đông_đơn nên đơn giao hơi muộn bù_shop tư_vấn rất nhiệt_tình,1
không đẹp lắm mặc trà đá chơi hơi quê,0
trắng đúng túi da sản_phẩm đẹp giống mô_tả giao hàng đúng hẹn thân_thiện shop,1
hơi thất_vọng túi giao xước túi cũ chiếc thứ túi_xước y_chang hơi thất_vọng,0
đen đúng mô_tả đóng_gói sơ_xài đồ điện_tử hơn vận_chuyển nước_ngoài đóng_gói quá ẩu đặt_hàng cận tết nên vận_chuyển chậm shop đóng_gói ẩu,0
đen đúng đẹp vải hơi mỏng,0
tay_áo hơi nhỏ,1
đẹp quá ủng_hộ shop,1
màu quần đẹp may chắc_chắn độ dài_chạm gót chân m hề fit eo_cụa chất thô_co giãn đứng form,0
xem đặt sản_phẩm tổng_đơn hơn chờ cả tháng giao đúng sản_phẩm túi màu xanh gấu,0
shop giao sai mẫu,0
đen lắm khá mỏng,0
tóc đen rất slay cần nhuộm tóc da mới sáng tóc đen đủ đẹp muốn tóc đẹp màu đen chăm_tóc tóc dày mới,1
giao hàng nhanh_sản phầm rất đẹp màu đẹp lắm nói_chung,1
không đúng nhựa vàng kẹp giao dơ_xước đầu cuối đặt_hàng shop,0
đặt,0
tệ khác hoàn_toàn ảnh,0
sản_phẩm ok_chất ổn_shop tư_vấn hướng_dẫn đổi size nhiệt_tình lắm video mang lấy xu,1
đẹp hình lỗi không chỉnh_kim giờ,1
khong nhận đôi hình,0
đẹp xinh_giày xinh_xỉu á_chất dày_dặn chắc_chắn lắm shop gửi cả thư cảm_ơn nên mua lắm,1
shop kêu quà tặng hong thấy tặng,0
giao hàng nhanh sản_phẩm vết trắng bề_mặt o_thể lau nước thừa_túi o chắc_chắn,0
hàng đẹp giống hình giao hàng nhanh khoảng tuần đóng_gói cẩn_thận,1
quá bé,0
giao hàng nhanh đóng_gói sản_phẩm chắc_chắn mua shop rất ưng thanks shop,1
sai hoàn_toàn quá tệ sản_phẩm không chống nước mưa rửa tay đều nước,0
mức giá khá ok ủng_hộ shop,1
đầu thấy chờ gửi hàng lâu quá tưởng shop giao túi đẹp xẹp lép_hà nhiều đồ,0
cao m nặng shop cần chụp xem quần_màu kiểu_dáng không khác i quần_thường không giống hình mặc chật thói_quen cắt dây đục nút mặc giờ shop kêu đổi mất_phí quần_nguyên shop mới đổi ship qua rất mất thời_gian việc chạy làm tỉnh sai chịu shop sai shop chịu mất_phí thời_gian đợi đổi trả rất lâu đánh_giá s không thấy hài_lòng,0
đúng dễ rỉ đúng,0
hàng kém không giống quảng_cáo nên cẩn_thận mua,0
đủ màu đúng thun sản_phẩm ok bé cột nhiều nhiều bé rất thích shop,1
sản_phẩm đẹp đóng_gói kĩ_càng chất_lượng rất tệ ngày hiện_tượng gỉ sét mặc mẫu_mã đẹp khuyên đừng nên mua,0
da trắng ví đẹp săn sale nên nghĩ đựng nhiều tiền,1
túi may cẩu_thả giao hàng_không miếng chống sốc form túi nhét_miếng khiến túi bành chèn bẹp,0
nhựa suốt chắc_chắn màu đúng ảnh shop ql mua,1
vải mặc bí_hơi nóng kinh_khủng mặt_đường kể_cả tốt đổ mồ_hôi ướt hết lớp ngoài không chống nước quảng_cáo,0
giao hàng lâu mua đẹp,0
quần mặc mát_chất sờ khá hợp_mặc mùa hè vận_động nhiều,1
đúng trắng hơi mỏng tạm,0
đúng mô_tả ví đẹp chất mềm_nhẹ nói_chung ủng_hộ tiếp,1
nâu nhạt đúng ủa đặt size shop giao size rộng dữ cân_nhắc mua,0
tặng đánh_giá oi,0
bảng tư_vấn size không đúng đặt size bảng mặc tụt quần,0
áo vừa form vải cảm_giác hơi mỏng giao hàng nhanh chung,1
quá đẹp giày rất nhẹ mua giá hời nên rất ưng_nạ,1
không giống ảnh quá tệ,0
biết chắc hoặc nhôm giống hình_đen chạy sai_giờ chạy nhanh kim_giây méo một_chút nút_chỉnh thời_gian lõng_lẽo lắc mạnh_thể nghe tiếng linh_kiện va_đập cân_nhắc mua,0
quên hình_ảnh đồ toàn mặc size s áo đặt size m hơi bó khá chỉn chu_lỗi nhiều form kiểu cũ_thể thử,1
dây kéo túi áo rất mỏng_manh mới mặc hư dây kéo,0
ví đẹp rẻ ngược thời_gian quá_khứ ngược nỗi đau tìm niềm vui ngược_ngàn trăm cơn bão_tố phong_ba cách hai nơi rất xa,1
đúng đen nói_chung sản_phẩm bình_thường mua mẹ mẹ khen_tội đóng hàng hơi sơ_sài,0
đúng xấu_quần quá rộng dài size s khổng_lồ,0
sai size đầu mua đúng,0
shop giao hàng nhanh đóng_gói chắc_chắn đồ đẹp chất_ok lắm nói_chung phù_hợp giá tiền mới giặt mặc thấy bạc_màu xíu,1
giờ đấy tạm trắng chê nói túi qua chày_xước phai màu nhuộm túi teo chỗ thừa chỗ kia quất nhận túi tay ngăn khó nên cân_nhắc mua gấp nên chọn ẻm nhận xong pùn,0
den vừa,1
đồng_hồ đẹp đóng chốt không cứng quá,1
đỏ mới mua tiếng bay màu thành màu đen dỡm,0
quá tuyệt_vời xuất_sắc_đẹp cực_kì á_đầu tưởng bé vừa đủ thứ nhỏ,1
chất vải đẹp mặc thoáng mát điều form cổ_hơi yếu lên chưa đẹp lắm,1
màu trắng kem kẹp màu trắng kem chắc_chắn tội nhận thấy hơi bẩn,1
đúng nhựa khá ok chuẩn sốp giao thiếu gãy cánh hoa khá ô_kê la màu gất xinh_á,0
giá tốt giao khá nhanh nên mua rộng size tăng giảm thoải_mái hơn,1
ship lâu màu đỏ ngoài màu tím bầm nhìn già lắm,0
giao không đúng màu hàng lỗi,0
giống ảnh dép mỏng hơn ảnh xốp,0
đúng đúng tạm ổn đinh_đình_khánh giáo_sư bắc kinh kể vợ sinh_viên xuất_sắc thanh hoa một trường danh_tiếng nhất trung_quốc_nhiên gái thường đứng bét lớp thành_tích học_tập tối bé làm bài_tập nhà gia_đình ba rơi cuộc_chiến cùng đinh_vợ thừa_nhận không biện_pháp cải_thiện thành_tích an_ủi đứa trẻ sinh không dành việc học giỏi,0
đặt màu suốt nhận màu vàng o xi_hóa quá thất_vọng,0
màu đen chắc cao_su khá mền êm_chân bố mổ chân bố thấy bói bảo_êm lắm,1
đúng trắng đen cao_su xin quá tịt_dời rẻ đôi quá đỉnh ủng_hộ,1
mỏng hơn tưởng_tượng phần đùi hơi chật_mỏng xuyên thấu,0
thất_vọng nhận hàng nhìn đôi bông đen đỡ chụp hình lên nhìn xa_xa ròi chỉnh_ảnh chắc đôi bông trắng nhìn hơi phèn nhất đôi bông nơ khác xa_ảnh lắm đôi bông giống hình_giọt nước nhỏ hơn xíu xênh rùi,0
dung mau_den giao_dung mau giao_hơi lâu đóng_gói bình_thường,0
giống mẫu o ke á_y_chang giày đẹp giá rẻ chân mang size vừa in,1
quần khá nhiều thừa màu đậm hơn hình_chút shop tư_vấn nhiệt_tình,0
nhìn đểu_đểu kiểu nhỏ ht thích_giác hạnh_phúc nên muốn làm_nên muốn làm_nên muốn làm,0
tuột móc nhanh quá kiểu_dáng đẹp,0
áo đẹp giá rẻ mặc vài tháng thay vừa rất hài_lòng sản_phẩm,1
trắng hàng đẹp giao hàng hơi lâu_chốt đằng_xíu đủ khuyên,1
hế nan_al lớp_học hiện chưa khai_giảng lịch khai_giảng gửi bạn lịch học phòng học,1
sản_phẩm đẹp đóng_gói cẩn_thận giao hàng hơi lâu,1
bộ búp_bê dễ huông quá quí dị_hóng chart hoặc chấm chấm dưới,1
nhỏ nhỏ nhỏ,0
tiền khá xịn kiểu_dáng đẹp mới mang vài hôm đế xẹp á,0
dep mát đúng minh_họa quần_mềm mặc_thích giao hàng nhanh đặt hôm hàng màu đẹp may cẩn_thận ủng_hộ shop,1
quá ngắn,0
giá ok chất_lượng vải tốt đứng form thời_gian giao hàng nhanh mua dùm rất hài_lòng thanks shop,1
ok hơi cọc,0
nhung tăm đúng đen áo giao dính rất nhiều bụi bông_tơ nhìn bẩn_bẩn dính rất nhiều shop nên tra áo giao,0
su không đúng trắng_hơi dơ_đế cao cm_kích_thước khá ok_hơi chật một xíu hình_ảnh video mang tính_chất,0
tốt sử_dụng thoải_mái kẹp chắc_chắn đúng màu mong_muốn một_số kẹo tóc không bỏ rất dễ gãy vỡ mong shop xem,1
quá kém nên mua phí tiền,0
giao hàng nhanh sản_phẩm tuyệt_vời đóng_gói sản_phẩm tốt_shop phục_vụ rất tốt,1
đen cặp xinh_vải quá mỏng phần thấy rộng vừa đủ khá ok_ếch xĩu,1
hư khóa,0
chưa mặc thử đặt bộ khác giao_bộ kiểu,0
chất vải đẹp chuẩn form màu đẹp ship nhanh rất ưng,1
giao hàng nhanh áo vải mịn mềm đẹp_độ co_dãn nhẹ săn sale giá quá hời,1
mặc size rộng,0
đồng_hồ nước khinh khủng_lưu mua,0
chất vải đẹp m mua bố,1
vải đún cà_phê sản_phẩm giao hàng nhanh hàng quốc_tế hôm tới,1
lừa giờ không đúng kim chạy nhanh đừng mua h h,0
kẹp đẹp thái_độ chửi cả khách ghét,0
áo cứng mua,0
giao hàng quá chậm_shop phản_hồi rất chậm,0
áo đẹp lắm đợi nhu_cầu khách_hàng_thể in tối_đa,1
dũi đen chất_lượng ok chun_quần co_dãn ít kéo qua mông hơi_kích,0
nỉ đúng chời đẹp lắm oi_đáng tiền lắm nên mua nhen,1
ok ok ok hàng quốc_tế đợi hàng lâu thấy đồ quá ok dép đẹp_êm quốc_tế nên mới nhận ngoài nhìn xịn hơn ảnh nên mua,1
đúng xấu xấu video đằng hàng nẻo,0
nhận hàng đánh_giá tuyển chán quá,0
