ctrai	con trai
thik	thích
cj	chị
mn	mọi người
nguoi	người
nóg	nóng
hok	không
ko	không
bik	biết
pik	biết
pit	biết
kbiet	không biết
vs	với
cx	cũng
cug	cũng
mik	mình
mink	mình
wtf	what the fuck
cmt	comment
ck	chồng
chk	chồng
ngta	người ta
gđ	gia đình
oh	ồ
vk	vợ
ctác	công tác
sg	sài gòn
ae	anh em
ah	à
ạh	ạ
rì	gì
vn	việt nam
cũg	cũng
đag	đang
ace	anh chị em
àk	à
uh	ừ
cmm	con mẹ mày
cmnr	con mẹ nó rồi
hnay	hôm nay
ukm	ừm
tq	trung quốc
ctr	chương trình
nch	nói chuyện
trieu	triệu
nta	người ta
ngèo	nghèo
kêh	kênh
ak	á
ad	quản trị viên
j	gì
ny	người yêu
qc	quảng cáo
baoh	bao giờ
zui	vui
zẻ	vẻ
tym	tim
aye	anh yêu em
eya	em yêu anh
fb	facebook
insta	instagram
ig	instagram
z	vậy
thich	thích
đt	điện thoại
acc	account
loz	lồn
trc	trước
chẳg	chẳng
dell	đéo
chs	chẳng hiểu sao
đhs	đéo hiểu sao
đhieu	đéo hiểu
qá	quá
ntn	như thế nào
wá	quá
zậy	vậy
zô	vô
ytb	YouTube
vđ	vãi đái
vchg	vãi chưởng
sml	sấp mặt lờ
xl	xin lỗi
cmn	con mẹ nó
face	facebook
tui	tôi
vv	vui vẻ
ns	nói
iu	yêu
vcđ	vãi cải đái
in4	info
qq	quần què
kh	không
zạ	vậy
oy	rồi
jo	giờ
troai	trai
wa	quá
e	em
ik	đi
ji	gì
ce	chị em
lm	làm
đz	đẹp giai
sr	sorry
ib	inbox
rep	reply
hoy	thôi
đbh	đéo bao giờ
k	không
vd	ví dụ
a	anh
v	vậy
unfr	unfriend
my fen	my friend
fen	friend
cty	công ty
kô	không
đtqg	đội tuyển quốc gia
hqua	hôm qua
xog	xong
uk	ừ
nhoé	nhé
biet	biết
stk	số tài khoản
đươc	được
nghành	ngành
ngừoi	người
trog	trong
trg	trong
tgian	thời gian
biêt	biết
fải	phải
ngừ	người
đg	đường
tđn	thế đéo nào
bth	bình thường
vcđ	vãi cả đái
khg	không
nhưg	nhưng
nhg	nhưng
nhx	nhưng
thpt	trung học phổ thông
cskh	chăm sóc khách hàng
thằg	thằng
đuợc	được
dc	được
đc	được
dk	được
ah	à
àh	à
hửm	hả
hử	hả
hỉ	hả
onl	online
zô	dô
cmnd	chứng minh nhân dân
cccd	căn cước công dân
sđt	số điện thoại
klq	không liên quan
ks	khách sạn
kg	không
hanoi	hà nội
tphcm	thành phố hồ chí minh
hok	không
nx	nữa
sp	sản phẩm
sph	sản phẩm
sd	sử dụng
tn	tin nhắn
ntin	nhắn tin
ùi	rồi
pk	phải
gh	giao hàng
hssv	học sinh sinh viên
ln	luôn
lun	luôn
okela	ok
oke	ok
okie	ok
uki	ok
kela	ok
okla	ok
âu cơ	ok
nchung	nói chung
bh	bao giờ
bthg	bình thường
sz	size
tl	trả lời
trl	trả lời
nma	nhưng mà
nhma	nhưng mà
đep	đẹp
dẹp	đẹp
tôt	tốt
dỏm	dởm
gê	ghê
góm	gớm
mỏg	mỏng
sóp	shop
lămz	lắm
lém	lắm
khók	khóc
